Removed spheres: 0, Time: 9.45582 seconds
Removed spheres: 250, Time: 8.11169 seconds
Removed spheres: 500, Time: 8.11398 seconds
Removed spheres: 750, Time: 8.03638 seconds
Removed spheres: 1000, Time: 8.0593 seconds
Removed spheres: 1250, Time: 8.049 seconds
Removed spheres: 1500, Time: 7.91664 seconds
Removed spheres: 1750, Time: 7.91525 seconds
Removed spheres: 2000, Time: 7.89965 seconds
Removed spheres: 2250, Time: 7.87056 seconds
Removed spheres: 2500, Time: 7.79715 seconds
Removed spheres: 2750, Time: 7.76249 seconds
Removed spheres: 3000, Time: 7.68193 seconds
Removed spheres: 3250, Time: 7.70706 seconds
Removed spheres: 3500, Time: 8.22031 seconds
Removed spheres: 3750, Time: 8.9651 seconds
Removed spheres: 4000, Time: 9.23094 seconds
Removed spheres: 4250, Time: 8.09517 seconds
Removed spheres: 4500, Time: 8.28644 seconds
Removed spheres: 4750, Time: 7.95342 seconds
Removed spheres: 5000, Time: 7.94846 seconds
Removed spheres: 5250, Time: 7.88671 seconds
Removed spheres: 5500, Time: 8.01816 seconds
Removed spheres: 5750, Time: 7.84266 seconds
Removed spheres: 6000, Time: 7.81141 seconds
Removed spheres: 6250, Time: 7.76036 seconds
Removed spheres: 6500, Time: 7.8424 seconds
Removed spheres: 6750, Time: 7.69879 seconds
Removed spheres: 7000, Time: 7.64626 seconds
Removed spheres: 7250, Time: 7.65915 seconds
Removed spheres: 7500, Time: 7.7355 seconds
Removed spheres: 7750, Time: 7.62159 seconds
Removed spheres: 8000, Time: 7.60915 seconds
Removed spheres: 8250, Time: 7.66109 seconds
Removed spheres: 8500, Time: 7.47816 seconds
Removed spheres: 8750, Time: 7.53682 seconds
Removed spheres: 9000, Time: 7.48034 seconds
Removed spheres: 9250, Time: 7.45649 seconds
Removed spheres: 9500, Time: 7.49464 seconds
Removed spheres: 9750, Time: 7.44347 seconds
Removed spheres: 10000, Time: 7.37471 seconds
Removed spheres: 10250, Time: 7.35058 seconds
Removed spheres: 10500, Time: 7.32405 seconds
Removed spheres: 10750, Time: 7.30282 seconds
Removed spheres: 11000, Time: 7.24492 seconds
Removed spheres: 11250, Time: 7.3628 seconds
Removed spheres: 11500, Time: 8.06506 seconds
Removed spheres: 11750, Time: 7.2103 seconds
Removed spheres: 12000, Time: 7.30603 seconds
Removed spheres: 12250, Time: 7.14021 seconds
Removed spheres: 12500, Time: 7.21989 seconds
Removed spheres: 12750, Time: 7.07772 seconds
Removed spheres: 13000, Time: 7.10233 seconds
Removed spheres: 13250, Time: 7.05066 seconds
Removed spheres: 13500, Time: 7.02123 seconds
Removed spheres: 13750, Time: 7.10761 seconds
Removed spheres: 14000, Time: 7.09359 seconds
Removed spheres: 14250, Time: 6.9951 seconds
Removed spheres: 14500, Time: 7.04721 seconds
Removed spheres: 14750, Time: 6.91914 seconds
Removed spheres: 15000, Time: 6.89223 seconds
Removed spheres: 15250, Time: 6.98675 seconds
Removed spheres: 15500, Time: 6.8462 seconds
Removed spheres: 15750, Time: 6.91543 seconds
Removed spheres: 16000, Time: 6.92041 seconds
Removed spheres: 16250, Time: 6.83474 seconds
Removed spheres: 16500, Time: 6.81741 seconds
Removed spheres: 16750, Time: 6.79284 seconds
Removed spheres: 17000, Time: 6.8357 seconds
Removed spheres: 17250, Time: 6.82074 seconds
Removed spheres: 17500, Time: 6.75682 seconds
Removed spheres: 17750, Time: 6.71328 seconds
Removed spheres: 18000, Time: 6.83828 seconds
Removed spheres: 18250, Time: 6.70509 seconds
Removed spheres: 18500, Time: 6.63841 seconds
Removed spheres: 18750, Time: 6.68398 seconds
Removed spheres: 19000, Time: 6.65445 seconds
Removed spheres: 19250, Time: 6.65276 seconds
Removed spheres: 19500, Time: 6.58223 seconds
Removed spheres: 19750, Time: 7.15036 seconds
Removed spheres: 20000, Time: 6.60321 seconds
Removed spheres: 20250, Time: 6.64678 seconds
Removed spheres: 20500, Time: 8.0715 seconds
Removed spheres: 20750, Time: 6.55253 seconds
Removed spheres: 21000, Time: 6.52627 seconds
Removed spheres: 21250, Time: 6.73601 seconds
Removed spheres: 21500, Time: 6.50478 seconds
Removed spheres: 21750, Time: 6.48261 seconds
Removed spheres: 22000, Time: 6.45163 seconds
Removed spheres: 22250, Time: 6.45995 seconds
Removed spheres: 22500, Time: 6.43079 seconds
Removed spheres: 22750, Time: 6.55204 seconds
Removed spheres: 23000, Time: 6.50464 seconds
Removed spheres: 23250, Time: 6.38853 seconds
Removed spheres: 23500, Time: 6.38397 seconds
Removed spheres: 23750, Time: 6.38309 seconds
Removed spheres: 24000, Time: 6.41558 seconds
Removed spheres: 24250, Time: 6.36896 seconds
Removed spheres: 24500, Time: 6.35462 seconds
Removed spheres: 24750, Time: 6.335 seconds
Removed spheres: 25000, Time: 6.39211 seconds
Removed spheres: 25250, Time: 6.31934 seconds
Removed spheres: 25500, Time: 6.33771 seconds
Removed spheres: 25750, Time: 6.36966 seconds
Removed spheres: 26000, Time: 6.46065 seconds
Removed spheres: 26250, Time: 6.41458 seconds
Removed spheres: 26500, Time: 6.31563 seconds
Removed spheres: 26750, Time: 6.27964 seconds
Removed spheres: 27000, Time: 6.31349 seconds
Removed spheres: 27250, Time: 6.29411 seconds
Removed spheres: 27500, Time: 6.27024 seconds
Removed spheres: 27750, Time: 6.28385 seconds
Removed spheres: 28000, Time: 6.28648 seconds
Removed spheres: 28250, Time: 6.38234 seconds
Removed spheres: 28500, Time: 6.28487 seconds
Removed spheres: 28750, Time: 6.2419 seconds
Removed spheres: 29000, Time: 6.559 seconds
Removed spheres: 29250, Time: 6.72591 seconds
Removed spheres: 29500, Time: 6.52962 seconds
Removed spheres: 29750, Time: 6.36883 seconds
Removed spheres: 30000, Time: 6.74251 seconds
